year,statefips,countyfips,ds_pm_pred
2012,46,46033,5.855389180327869
2014,30,30055,5.535524520547945
2013,37,37059,8.928158747553816
2011,45,45065,10.516520440182648
2012,48,48053,8.047138763661202
2013,54,54041,8.382756767123288
2012,19,19073,9.226331420765027
2013,26,26037,9.069821681195517
2012,13,13287,9.867602049180328
2011,55,55035,9.215157083013699
2011,55,55129,7.573687669589041
2012,29,29181,9.416933674863388
2013,37,37149,8.439372908023483
2011,5,5085,11.069523131849315
2012,21,21231,9.25694956284153
2012,26,26015,9.900286984600099
2013,39,39113,11.267601967946996
2013,47,47107,9.385802410958904
2014,31,31061,7.246225342465753
2011,42,42091,10.830084966149451
2011,51,51131,8.324742785388128
2014,48,48201,11.29396297361358
2012,51,51083,8.655727094717668
2013,29,29075,8.85331498630137
2014,28,28009,9.539070821917808
2012,19,19081,9.411235450819672
2011,29,29061,9.388221956164384
2012,48,48433,6.908060655737705
2014,29,29059,9.20588
2012,26,26029,7.414391799075242
2014,46,46049,5.54839698630137
2012,55,55093,9.568412158469945
2013,38,38059,6.25713594520548
2011,20,20177,9.806737088180949
2014,19,19139,10.349972931506849
2012,42,42077,10.778898752516537
2011,8,8025,5.716548005479452
2013,34,34007,9.650741417322835
2012,38,38079,7.387735177595628
2013,18,18107,10.682059391171994
2011,51,51195,9.188474651556662
2014,21,21115,9.520857899543379
2011,19,19011,9.952523559295499
2011,48,48357,7.382790049315068
2012,53,53011,7.903004888871374
2012,49,49041,4.968914153005464
2014,16,16077,6.170856301369863
2013,42,42057,9.092636712328767
2012,38,38071,7.643266302367942
2011,6,6027,6.875124955251142
2014,21,21031,10.829851671232877
2014,12,12127,7.217454496302582
2013,37,37187,7.203353698630137
2012,46,46137,6.27976174863388
2011,31,31157,6.175922471232877
2011,40,40029,9.516554912328767
2014,56,56025,3.522687561643836
2012,21,21167,9.76585956284153
2011,48,48087,7.583684482191781
2012,27,27055,9.167412950819672
2011,28,28013,9.401206980273973
2012,13,13095,10.125584608378871
2012,35,35003,4.986780054644809
2013,23,23005,7.628062237027812
2014,11,11001,9.799117248029387
2013,48,48141,6.626451423466349
2013,34,34031,9.382322178082192
2012,46,46087,8.619581147540984
2013,29,29217,9.109388538812785
2013,27,27171,9.303464818694601
2012,53,53073,7.400434116843459
2011,38,38077,7.877908877625571
2011,35,35005,7.769833841438356
2013,48,48167,9.140943424657534
2014,12,12086,7.151761541757021
2012,1,1039,8.733315183450429
2011,38,38029,6.646556583561644
2011,20,20133,9.746181488767123
2012,19,19131,9.356986520947177
2014,39,39165,11.804109863013699
2013,38,38103,6.098886164383562
2012,22,22053,8.543995277127244
2014,55,55023,8.69654397260274
2014,17,17035,11.370926484018265
2012,36,36087,8.797497246742329
2013,13,13159,9.800398264840183
2011,48,48317,7.708825279452055
2013,51,51103,7.561994429223744
2012,26,26099,10.170434494282534
2013,19,19035,8.690156780821918
2013,31,31013,5.353605579908676
2014,21,21025,9.403835655577299
2012,54,54011,10.426743973054456
2013,48,48439,10.008315416906489
2012,13,13059,10.113687349726776
2014,41,41005,7.896420786986301
2011,38,38031,6.997775917808219
2013,19,19055,9.498073082191781
2011,31,31025,9.460635736073059
2012,39,39087,10.594114327185792
2013,18,18161,10.797771095890411
2014,38,38089,4.847972489726027
2011,28,28067,9.97058902446184
2011,29,29167,9.810131826712329
2013,38,38031,6.313657232876712
2011,53,53075,6.708012176712329
2014,42,42035,9.195035890410959
2014,39,39151,11.533462121694807
2013,45,45089,8.07042196762142
2011,32,32019,6.40281880109589
2012,17,17083,10.484262568306011
2014,39,39175,11.247766757990868
2013,1,1133,9.876346849315068
2012,31,31109,9.54957124132329
2011,19,19063,8.907760180821918
2011,1,1003,8.840007705788776
2012,38,38037,6.492592349726776
2011,42,42051,10.462819788127854
2014,51,51720,9.098489589041096
2011,27,27097,8.279542570890411
2014,20,20103,9.610451198630137
2012,21,21013,9.320720151791135
2012,48,48141,10.368542933509826
2012,23,23025,6.746033172613308
2011,54,54077,9.514077707191781
2014,53,53019,5.8604299543379
2012,22,22067,9.762839036885246
2012,40,40137,8.532072280178838
2012,38,38093,7.539107923497268
2013,31,31019,7.472198405977584
2011,5,5053,10.634892305479452
2011,48,48057,8.174519669041096
2012,27,27037,10.650548619499569
2011,51,51019,9.392097747773973
2011,47,47167,9.583058460273973
2013,8,8019,4.297220831050228
2012,48,48023,7.230211475409836
2012,48,48095,6.741590163934426
2012,42,42089,8.556563570127505
2014,40,40077,9.07953105022831
2012,39,39047,10.890415144418423
2014,48,48477,9.575152465753425
2014,38,38079,5.540034109589041
2013,17,17055,9.88219399543379
2013,1,1009,10.33874395738204
2012,55,55103,9.154126010928962
2012,40,40103,8.844749521857924
2012,53,53009,4.941604828259172
2013,18,18101,10.870738538812785
2011,27,27163,10.05356762520548
2014,13,13253,10.255175251141552
2012,34,34037,8.107678981740637
2014,20,20095,8.19259105022831
2012,20,20007,7.935325
2014,47,47099,9.751915566625156
2014,36,36085,9.660295415357547
2012,40,40077,8.958247267759563
2012,13,13125,9.888755191256831
2011,32,32003,8.3453184148294
2014,47,47039,9.468338835616438
2013,21,21223,10.478100136986301
2011,36,36013,8.585786978317025
2013,55,55061,7.71889401369863
2013,26,26129,7.468224383561644
2014,49,49049,6.942930600385274
2012,16,16039,6.895143016393443
2012,5,5113,9.054177049180328
2014,22,22035,9.419496438356164
2013,20,20127,8.25301397260274
